YEAR,MONTH,lluvia_mm,temp_max,temp_min,humedad,ph_suelo,Recomendacion
2001,JUN,0.26800154023873707,0.2345971563981042,0.7540192926045013,0.8256143667296785,0.26544240400667773,2
2002,JUN,0.26068540623796693,0.29265402843601906,0.8617363344051447,0.8653119092627595,0.4824707846410685,2
2003,JUN,0.1601848286484405,0.2748815165876777,0.7266881028938907,0.8889413988657839,0.27378964941569284,2
2004,JUN,0.15979976896418946,0.36018957345971536,0.6607717041800643,0.8331758034026464,0.2904841402337228,2
2005,JUN,0.3176742395071236,0.4241706161137442,0.8794212218649518,0.9470699432892244,0.8013355592654423,3
2006,JUN,0.22140931844435888,0.2879146919431279,0.7170418006430863,0.871455576559546,0.12353923205342232,2
2007,JUN,0.2129380053908356,0.35426540284360186,0.7459807073954983,0.8426275992438566,0.23205342237061777,2
2008,JUN,0.33692722371967654,0.3080568720379149,0.8424437299035368,0.893667296786389,0.26043405676126885,2
2009,JUN,0.26877165960723914,0.3281990521327014,0.8070739549839228,0.8516068052930059,0.10350584307178634,2
2010,JUN,0.2345013477088949,0.42535545023696697,0.6414790996784563,0.7835538752362945,0.35559265442404,2
2011,JUN,0.29765113592606857,0.5189573459715637,0.8633440514469453,0.7008506616257089,0.7545909849749584,1
2012,JUN,0.20061609549480172,0.4277251184834121,0.6591639871382633,0.7452741020793949,0.9432387312186978,3
2013,JUN,0.3750481324605314,0.2879146919431279,0.6864951768488747,0.8983931947069941,0.21368948247078468,2
2014,JUN,0.31382364266461305,0.3744075829383888,0.5948553054662378,0.8610586011342152,0.04173622704507507,2
2015,JUN,0.34424335772044673,0.43957345971564,0.9469453376205783,0.903591682419659,0.5876460767946579,3
2016,JUN,0.41393916056988833,0.40876777251184837,0.6688102893890673,0.8558601134215502,0.10016694490818023,2
